"","ERR1474564","ERR1474565","ERR1474566","ERR1474567","ERR1474568","ERR1474569","ERR1474570","ERR1474571","ERR1474572","ERR1474574","ERR1474575","ERR1474576","ERR1474577","ERR1474578","ERR1474579","ERR1474580","ERR1474581","ERR1474582","ERR1474583","ERR1474584","ERR1474585","ERR1474586","ERR1474587","ERR589346","ERR589348","ERR589350","ERR589351","ERR589352","ERR589353","ERR589354","ERR589355","ERR589356","ERR589357","ERR589358","ERR589359","ERR589360","ERR589361","ERR589362","ERR589363","ERR589364","ERR589365","ERR589366","ERR589367","ERR589368","ERR589370","ERR589371","ERR589372","ERR589373","ERR589374","ERR589375","ERR589376","ERR589377","ERR589378","ERR589379","ERR589380","ERR589381","ERR589382","ERR589384","ERR589386","ERR589388","ERR589390","ERR589392","ERR589394","ERR589396","ERR589398","ERR589400","ERR589402","ERR589404","ERR589406","ERR589408","ERR589410","ERR589412","ERR589414","ERR589416","ERR589418","ERR589420","ERR589422","ERR589424","ERR589426","ERR589428","ERR589430","ERR589432","ERR589435","ERR589436","ERR589438","ERR589449","ERR589456","ERR589458","ERR589749","ERR589754","ERR589758","ERR589765","ERR589768","ERR589784","ERR589785","ERR589788","ERR589790","ERR589791","ERR589792","ERR589793","ERR589794","ERR589795","ERR589796","ERR589797","ERR589798","ERR589799","ERR589800","ERR589801","ERR589802","ERR589805","ERR589806","ERR589807","ERR589808","ERR589809","ERR589810","ERR589811","ERR589812","ERR589813","ERR589814","ERR589817","ERR589818","ERR589819","ERR589820","ERR589821","ERR589824","ERR589825","ERR589826","ERR589827","ERR589829","ERR589830","ERR589835","ERR589836","ERR589837","ERR589845","ERR589846","ERR589847","ERR589848","ERR589849","ERR589850","ERR589851","ERR589852","ERR589853","ERR589855","ERR589856","ERR589857","ERR589858","ERR589861","ERR589862","ERR589863","ERR589864","ERR589865","ERR589866","ERR589867","ERR589868","ERR589869","ERR589871","ERR589872","ERR589873","ERR589874","ERR589875"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_oulorum",0.01102,0.09212,0.00522,0.36876,0.38516,0.10975,0.15529,0.02491,0.22117,0,0.57243,0.06698,0.25488,0.08911,0.27842,0.01573,0.05898,0.19621,0.73307,0.46372,0.03507,0.11274,0.06123,0.05068,0.08839,0.14869,0.2734,0.17199,0.03194,0.10313,0.05667,0.16701,0.38972,0.02122,0.12836,0.10872,0.0019,1.21515,0.19366,0.08154,0.66524,0,0.12427,0.09648,0.15049,0.85349,0.02621,0.02833,0.60775,0.04656,0.81672,0.865,0.25689,0.05303,0.81947,0.06215,0.00059,0.31652,0.02525,0.03716,0.0059,0.10343,0,0.10122,0,0.0215,0.05235,0.01448,0.00731,0.0088,0.03495,0.02764,0.0121,0.04225,0.02797,0.06823,0.17009,0.0106,0.01697,0.0073,0.0014,0.00178,0.03503,0.17542,0.09034,0.40668,0.06375,0.00103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Picornavirales|f__Secoviridae|g__Secoviridae_noname|s__Black_raspberry_necrosis_virus",0.01049,0.00548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_noname|f__Bacteroidetes_noname|g__Bacteroidetes_noname|s__Bacteroidetes_bacterium_oral_taxon_272",0.00954,0.00273,0.05359,0.04602,0,0.0229,0,0.00684,0.04137,0.02294,0.00423,0,0,0.0354,0.00958,0.01408,0,0.02908,0.22565,0.0213,0.00014,0.00301,0.07247,0.01442,0,0,0,0.06249,0.01349,0.05041,0.00314,0.41825,0.04492,0.11638,0.05478,0.05719,0,0.06134,0,0,0.03274,0,0.01499,0,0.00336,0.07456,0.00755,1.54913,0.0645,0,0.04797,0.13921,0,0,0.10833,0.00138,0,0.00121,0.0025,0.00344,0,0.02189,0,0.00114,0,0.00496,0.00095,0.00113,0,0,0.0045,0,0.00636,0.00584,0.00509,0,0,0.00092,0.00954,0,0,0.00497,0.0017,0.03505,0.01298,0,0.0055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacteriaceae_noname|s__Eubacteriaceae_bacterium_OBRC8",0.00846,0.01288,0.02758,0.00125,1e-04,0.013,0,0.00277,0,0,0.00105,0,0,0,0.00489,0.01413,0,0.00057,0.00941,0.00508,0.00421,0,0.00679,0,0.0018,0,0,0,0.00904,0,0,0,0.00499,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00215,0.03718,0,0,0,0,0,0,0.00235,0.00224,0,0,0,0.00645,0,0.00052,0,0,0,0,0.00097,0.0031,0,0,0,0,0.00238,0.00033,0,0,0,0,0.00022,0.01565,0,0.00134,0.00279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_catoniae",0.00805,0.12921,0.00908,0.06094,0.00554,0.01059,0.00553,0.09979,0,0.03033,0.04106,0.04649,0,0,0,0.01161,0.01313,0.02975,0,0.00341,0.0114,0.00508,0.01364,0.14015,0.00653,0.16883,0.32912,0,0.15384,0.00462,0.05031,0,0.01776,0.05456,0,0.00441,0.41949,0,0.00125,0,0.03969,0.02888,0.22014,0.00665,0.00518,0.05884,0.1078,0.0015,0.02602,0.00072,0,0.30983,0.02312,0.00413,0.0281,0.11774,0.04295,0.00431,0.00683,0.011,0.05098,0.01557,0,0,0.02189,0.00179,0.0499,0.01518,0.01028,0.01214,0,0.01454,0.06145,0.04701,0.01601,0.03088,0.02825,0,0.01648,0,0.00372,0.06323,0.13661,0.00117,0.02528,0,0.01428,0.00774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella_rava",0.00793,0.0496,0.01901,0.47895,0.00704,0.16901,0.23987,0.06922,0.23228,0.01075,0.0941,0.19702,1.10565,0.19787,0.2261,0.08688,0.73827,0.32034,0.44081,0.4567,0.00459,0.09281,0.28524,0,0.03678,0.02612,0.00238,0,8e-05,0,0.00089,0.00433,0,0.00092,0,0,0,0.03318,0.00145,9e-04,0,0,0,0.00084,0.00114,0,0,0,0,0,0.00449,0.02894,0.00157,0,0,0,0.01553,0.06421,0.01051,0.02912,0.00299,0.01322,0,0.11278,0.01558,0.03307,0.0625,0.01766,0.0016,0.03132,0.04695,0.09862,0.01132,0.00488,0.03299,0.20356,0.73556,0.01242,0.02198,0.18603,0.02363,0.00182,0.2457,0.11101,0.24422,0,0.03434,0.03519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Picornavirales|f__Picornaviridae|g__Picornaviridae_noname|s__Bat_picornavirus_3",0.00778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00236,0,0,0,0.00658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Tymovirales|f__Betaflexiviridae|g__Capillovirus|s__Cherry_virus_A",0.00776,0.00456,0,0,0.00134,0,0,0,0,0,0,0,0,0,0,0.00118,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Picornavirales|f__Picornaviridae|g__Picornaviridae_noname|s__Bat_picornavirus_1",0.00763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_parvulum",0.00748,0.16168,0.06444,1.5972,1.10669,0.74936,2.38342,0.06564,0.47107,0.16246,0.97141,0.10693,2.3678,0.21935,0.55764,0.98286,0.34664,0.34252,0.63419,0.33556,0.14716,1.04948,0.60335,0.00406,0.91713,1.75432,0.03445,0.34371,0.01366,0.01993,0.01736,0.78301,0.07453,0.23882,0.02095,0.24415,0,0.28168,0.03204,0.71717,0.07461,0.00383,0.18471,0.02064,0.01973,0.06882,0.00188,0.03597,0.15762,0.05939,0.12815,0.11537,0.01558,0.05356,0.75344,0.08471,0.14055,0.56682,0.03873,0.11845,0.00843,0.32641,0.05342,0.2024,0.09308,0.09095,0.29928,0.18312,0.04314,0.74292,0.4276,0.12107,0.12893,0.55689,0.61879,4.88555,0.79896,1.95528,0.04661,0.07476,0.18261,0.35575,0.76121,0.19709,1.4547,0.00953,0.77743,0.55394,0,0.01148,0,0,0.00023,0,0,0,0,0,0,0,0.00531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_salivae",0.00737,0.29705,0.00045,0.71866,1.8091,0.81424,1.2669,0.0874,0.37763,0.01986,1.2869,0.54686,3.74187,0.35193,1.59315,0.43061,0.31454,0.52145,0.40079,0.79873,0.1822,3.32697,0.34897,0,0.36801,0.17564,0.00158,0.00728,0,0,0.01042,0.04033,0.00567,0,0,0,0,0.89839,0.05544,0.14179,0.07908,0,0,0.01751,0.04019,0.00773,0,0,0.05911,0.0077,0.04562,0.01879,0.03179,0.00962,0.05578,0,0.00975,0.30406,0.0202,0.02864,0,0.03962,0,0.07053,0,0.03039,0.11733,0.01214,0.00147,0.02801,0.027,0.06703,0.01274,0.62641,0.10906,0.17284,0.27629,0.77081,0.01696,0.0784,0.09787,0.00349,0.28587,0.14911,0.35414,0.028,0.15709,0.04128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Fretibacterium|s__Fretibacterium_fastidiosum",0.00685,0.0038,0.04047,0.04137,0.01219,0.01614,0,0.0069,0,0,0,0,0,0,0,0.04709,0,0.01627,0.06446,0.06522,0.0045,0.00056,0.01887,0.03143,0.00482,0.0054,0.00639,0.38933,0.1457,0.11519,0.00466,1.18175,0.66561,0.11998,0.12429,1.41938,0.00142,0.15125,0.001,0.007,0.20418,0.01869,0.13871,0.0148,0.06486,0.3265,0.01953,0.59356,0.25574,0.00912,0.54165,0.16121,0.12747,0.00593,0.40667,0.17852,0.01839,0.02144,0.00547,0.06954,0.00859,0.25214,0.78717,0.19289,0.02916,0.07605,0.0766,0.01817,0.01895,0.02983,0.11966,0.25026,0.07651,0.02208,0.06479,0.00662,0.08705,0.01642,0.07459,0.11744,0.04601,0.02686,0.02031,0.11858,0.05002,0,0.01911,0.11822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Eubacterium_yurii",0.00682,0.01595,0.24511,0.04614,0,0.00374,0,0.00869,0,0.0123,0.00643,0,0,0,0,0.03497,0.01293,0,0.02059,0.01818,0.01096,0,0.0066,0.03173,0.00096,0.00045,0,0,0.07395,0.07995,0,0,0.04719,0,0,0.01969,0,0,0,0,0.00208,0,0.01599,0.02459,0.00191,0,0.08692,0.71531,0,0,0.00466,0.00443,0.00559,0,0.00998,0.30271,0.00091,0,0,0.00621,0.00667,0.01371,0.16496,0,0.01216,0,0.01429,0.00708,0,0.00667,0.01163,0.00528,0.03593,0.00753,0,0.00105,0.00126,0,0.00318,0.01488,0.00231,0.00247,0.00452,0,0.00436,0,0.0024,0.00342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_micans",0.00655,0.02401,0.0081,0.0956,0.00285,0.02128,0.00762,0.01446,0,0.02433,0.03293,0.0468,0,0.17297,0.06605,0.03068,0.15734,0.02867,0.33494,0.07539,0.00716,0.01795,0.02123,0.46934,0.00129,0.09439,0.18453,0.00049,0.04955,0.14293,0.00997,0.00706,0.00601,0.00928,0.00964,0.07582,0.02136,0.02528,0,0,0.26303,0,0.0106,0.03373,0.00432,0.00209,0.03313,0.01781,0.04577,0.00558,0.12295,0.74132,0,0.01465,0.06539,0.0493,0,0.00106,0,0.01307,0.02032,0.0514,0,0.00493,0,0.00098,0.00528,0.01954,0,0,0.00624,0,0.03871,0.01724,0.00653,0,0.00957,0.00023,0.00904,0,0,0.00202,0.00857,0.03642,0.00133,0.00306,0.00539,0.00125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_rimae",0.00597,0.02796,0.10101,0.32419,0,0.01966,0.0177,0.03036,0.26126,0.00897,0,0.05611,0.05198,0,0.02243,0.28363,0.04102,0.07109,0.22989,0.14764,0.00646,0.01018,0.00784,0,0.0096,0.08504,0.09566,2.41372,0.37684,0.04226,0.29853,9.4388,0.61194,0.15078,0.08971,0.04953,0.00737,4.18907,0.0094,3.56889,0.0901,0.00306,0.54814,0.07132,0.11316,0.12399,0.10566,0.05669,0.18515,0.0675,0.8454,0.05105,0.01802,0.00475,0.69873,0.00927,0.16956,3.3932,0.06682,0.25389,0.04931,1.34061,0.27198,2.44842,0.12443,0.07008,0.20086,1.27553,0.04886,0.10941,0.67501,0.2947,0.05577,0.07058,0.14803,0.24083,0.36027,0.02514,0.02312,0.07001,0.05902,0.41786,0.23913,0.45742,0.60156,0.00123,0.29287,0.09689,0,0.01219,0,0,0,0,0,0,0,0,0,0,0.00099,0,0,0,0,0,0,0,0,0,0,0.00119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Picornavirales|f__Iflaviridae|g__Iflavirus|s__Infectious_flacherie_virus",0.00589,0.00346,0.00427,0,0.00102,0.00627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Picornavirales|f__Iflaviridae|g__Iflaviridae_noname|s__Nilaparvata_lugens_honeydew_virus_2",0.0056,0.00329,0,0,0.00097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_maltophilum",0.00558,0.00471,0.06328,0.05426,0.01058,0.02577,0.00041,0.02076,0.02459,0,0.00873,0,0,0.03388,0.09477,0.01164,0.05049,0.02102,0.14245,0.01892,0.00177,0.00522,0.02799,0.15761,0.00397,0.00924,0.01749,0.20828,0.0961,0.33822,0.01517,0.31889,0.41006,0.22591,0.022,0.71759,0.01099,0.10164,0,0.01386,0.26688,0.00627,0.28716,0.05006,0.04907,0.12736,0.01842,1.07834,0.25298,0.0043,0.81565,0.74272,0.03815,0.00153,0.17859,0.36531,0.03387,0.01454,0.00195,0.02714,0.08425,0.10097,0.17512,0.04541,0.01277,0.06957,0.0116,0.0178,0,0.01477,0.01268,0.00844,0.06448,0.02097,0.01349,5e-05,0.00148,0.00369,0.02381,0.0378,0.00575,0.00856,0.00503,0.08589,0.0189,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_multiformis",0.00544,0.14674,0.52862,0.19324,0,0.02972,0,0.037,1.57585,0.06113,0.01144,0.00772,0.24361,0,0.05872,0.15326,0,0.47675,0.48666,0.20803,0.00807,0.184,0.1224,0,0,0.00305,0,0.06832,0.011,0,0.38736,0.07368,0.02927,0.01399,0,0,0,5.11805,0.00688,0.01421,0.08609,0,0,0.01011,0.02842,0,0,0,0,0,0.44748,1.20895,0,0,0.04465,0,0.11577,0.38577,0,0.25493,0,0.09851,0,0.70328,0,0,0.25507,0,0,0,0.05669,0,0.01981,0.27831,0.01941,0,0.30178,0,0.02503,0,0.0729,0.02144,0,0.79536,0.71994,0,0.04287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Endornaviridae|g__Endornavirus|s__Gremmeniella_abietina_type_B_RNA_virus_XL",0.0053,0.00935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Flaviviridae|g__Flavivirus|s__Murray_Valley_encephalitis_virus",0.0053,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Parvimonas|s__Parvimonas_micra",0.0052,0.03964,0.02209,0.02001,0.00858,0.01512,0.01103,0.00188,0,0.11434,0.00279,0,0.01329,0,0.00186,0.01473,0.00169,0,0.00496,0.03781,0.00753,0.01669,0.01158,0.01833,0.00406,0.03168,0.05991,0.10493,0.09247,0.00352,0.01601,0.14834,0.0105,0.03225,0.02481,0.03777,0,0.06378,0.00562,0.01811,0.00265,0.01162,0.01279,0.02126,0.01633,0.01024,0.00366,0.00429,0.08644,0.01272,0.01706,0.01682,0.019,0.00292,0.08873,0.03077,0.01355,0.03672,0.07753,0.02188,0.01669,0.06203,0.2407,0.16502,0.10537,0,0.05929,0.04625,0.00108,0.01297,0.05972,0.00995,0.04784,0.04694,0.00643,0.04534,0.14118,0.06642,0.07761,0.07825,0.03043,0.16536,0.02718,0.04697,0.1509,0,0.05398,0.11911,0.02791,0.01012,0,0,0.00273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Togaviridae|g__Alphavirus|s__Venezuelan_equine_encephalitis_virus",0.00477,0,0,0.0051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_baroniae",0.00423,0.00564,0.04842,0.06109,0,0.22846,0.01613,0.08159,0.08386,0,0.0024,0,0.01903,0,0.15285,0.00891,0.01288,0.0203,0.18633,0.11831,0.00286,0.00454,0.0347,0,0,0.00141,0,0.04889,0,0,0.00657,0.17868,0.06986,0.01197,0.02495,0.00583,0,0.03442,0,0,0.01731,0.00067,0,0.00025,0,0.00043,0.01737,0.0161,0.00482,0,0.00453,0.01033,0,0,0.02585,0,0.01486,0.00452,0.07061,0.03358,0,0.06689,0.08042,0.15877,0.01359,0.07231,0.02218,0.05274,0.00045,0.00085,0.03423,0.00363,0.00511,0.03576,0.00999,5e-04,0.14162,0.00414,0.05049,0.06126,0.01327,0.03772,0.01856,0.25114,0.06763,0,0.01788,0.01479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
